"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count"
"0";"1";"None";"bbc";"seed";"";"";"None";"None";"";"";"";""
"1";"2";"1";"1143803202301544_631595954994690";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"How did Topshop go from being one of the best-loved shops on the high street - to closing its doors for good?";"2022-09-29T13:10:09+0000";"";""
"1";"3";"1";"1143803202301544_631474231673529";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"";"2022-09-29T12:30:03+0000";"";""
"1";"4";"1";"1143803202301544_631473548340264";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"";"2022-09-29T11:30:05+0000";"";""
"1";"5";"1";"1143803202301544_631509338336685";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"What do you do when you wake up to the threat of a nuclear catastrophe?   On 13 January 2018, Hawaiians were confronted by an urgent nuclear threat and these are their stories.";"2022-09-29T11:01:36+0000";"";""
"1";"6";"1";"1143803202301544_631472768340342";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"";"2022-09-29T10:30:01+0000";"";""
"1";"7";"1";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"You can see the moment Tommy falls in love with Grace";"2022-09-29T10:00:10+0000";"";""
"1";"8";"1";"1143803202301544_631471861673766";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"Snoop Dogg and Ice Cube are among the musicians to have paid tribute to the Grammy-winning rapper.";"2022-09-29T09:26:08+0000";"";""
"1";"9";"1";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"The fish that eats birds... 😮";"2022-09-29T07:00:05+0000";"";""
"1";"10";"1";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:27:51.646488";"Facebook:/<page-id>/posts";"Helena Bonham Carter is excellent in this";"2022-09-28T20:00:22+0000";"";""
