case;group;in_geraete_anzahl;in_geraete_kompetenz;in_minuten;in_adoption;ki_einstellung_arbeit;ki_einstellung_sozial;ki_einstellung_individuell;ki_einstellung_bildung;ki_einstellung_entscheidungen;ki_profit;ki_gehoert;ki_quelle_massenmedien;ki_quelle_internet;ki_quelle_arbeit;ki_quelle_privat;ki_beispiele;ki_anwendungen_bild;ki_anwendungen_video;ki_anwendungen_text;ki_anwendungen_musik;ki_anwendungen_uebersetzung;ki_anwendungen_transkription;ki_anwendungen_beschreibung;ki_anwendungen_vorlesen;ki_anwendungen_empfehlung;ki_anwendungen_konversation;ki_anwendungen_navigation;cg_kennen;cg_erinnern;cg_erinnern_wochen;cg_erinnern_quelle;cg_nutzen;cg_nutzen_wochen;cg_nutzen_allein;cg_nutzen_gezeigt;cg_nutzen_eindruck;cg_nutzen_privat;cg_nutzen_beruflich;cg_nutzen_aktivitaeten;cg_gesprochen_privat;cg_gesprochen_beruflich;cg_adoption_advantage_01;cg_adoption_advantage_02;cg_adoption_advantage_03;cg_adoption_advantage_04;cg_adoption_fearofuse_01;cg_adoption_fearofuse_02;cg_adoption_fearofuse_03;cg_adoption_fearofuse_04;cg_adoption_social_01;cg_adoption_social_02;cg_adoption_social_03;cg_adoption_social_04;cg_adoption_easeofuse_01;cg_adoption_easeofuse_02;cg_adoption_easeofuse_03;cg_adoption_easeofuse_04;cg_adoption_evaluation_01;cg_adoption_evaluation_02;cg_adoption_evaluation_03;cg_adoption_evaluation_04;sd_geschlecht;sd_geburtsjahr;sd_alter;sd_abschluss;sd_ausbildung;sd_ausbildung_keine;sd_ausbildung_lehre;sd_ausbildung_meisterin;sd_ausbildung_studium;sd_ausbildung_promotion;sd_bereich;sd_haushalt;q_anmerkungen;q_started;q_time;q_completed
165;4 Nutzung ChatGPT;2;2;30;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;3;3;5;1;4;sicher profitieren;ja;4;4;4;4;textschreiber;3;3;3;3;3;3;4;3;3;1;4;ja;ja;0;aus Internetforen und Plattformen;ja, direkt nachdem ich davon gehört hatte;0;allein;selbst ausprobiert;[NA] nicht beantwortet;4;1;lass es Texte schreiben bilder beschreibene;2;1;4;4;5;3;1;-1;3;-1;3;3;1;3;5;4;5;5;5;5;3;5;männlich;2002;21;10. Klasse;1;2;1;1;1;1;Hausarbeit;4;NA;2023-04-21T13:26:30Z;431;TRUE
170;4 Nutzung ChatGPT;4;3;120;Ich probiere neue Angebote sofort aus.;4;4;4;4;4;eher profitieren;ja;2;3;2;2;Chat gpt midyourney;3;4;4;4;4;2;3;2;3;3;3;ja;ja;8;aus Massenmedien (online oder offline);ja, aber erst später;5;allein;selbst ausprobiert;eher überzeugend;4;4;Texte vorschreiben;3;2;3;4;3;4;3;4;4;4;5;4;4;5;4;2;4;4;4;4;4;4;männlich;1997;26;(Fach-) Abitur;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;5;NA;2023-04-21T13:27:23Z;418;TRUE
172;4 Nutzung ChatGPT;3;3;300;Ich probiere neue Angebote eher schnell aus.;4;3;3;4;4;eher profitieren;ja;3;3;5;5;Chatgpt;3;2;3;1;4;3;1;4;4;4;4;ja;nein;NA;NA;ja, direkt nachdem ich davon gehört hatte;5;allein;selbst ausprobiert;unbestimmt;2;2;Gedicht schreiben;2;1;4;-1;3;-1;3;4;-1;2;1;1;1;1;4;4;4;3;4;3;4;4;männlich;1989;34;(Fach-) Abitur;1;1;1;1;2;1;Verkehr, Logistik, Sicherheit;4;NA;2023-04-21T13:27:41Z;770;TRUE
183;4 Nutzung ChatGPT;4;4;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;4;3;2;3;eher profitieren;ja;4;4;5;4;"ChatGPT;";2;2;3;1;3;3;2;2;3;3;3;ja;ja;8;[NA] nicht beantwortet;ja, aber erst später;8;privat mit anderen;selbst ausprobiert;unbestimmt;1;1;Haben nur einmal einen Text schreiben lassen, zum Test;2;1;4;3;5;4;4;2;5;4;1;1;1;1;5;5;5;5;5;4;4;3;männlich;2003;20;(Fach-) Abitur;1;2;1;1;1;1;Ich befinde mich noch in einer Ausbildung.;4;NA;2023-04-21T13:31:09Z;829;TRUE
193;4 Nutzung ChatGPT;7;2;45;Ich probiere neue Angebote eher schnell aus.;4;2;3;4;3;eher profitieren;ja;4;4;5;3;ChatGPT;1;1;3;1;4;1;1;3;1;4;4;ja;ja;5;von Personen im privaten Umfeld;ja, aber erst später;2;privat mit anderen;von anderen gezeigt;[NA] nicht beantwortet;4;1;Texte erstellen. <br>Arbeiten an zwei Internetauftritten.;3;1;-1;3;4;4;4;-1;-1;1;-1;-1;2;2;4;4;3;3;3;4;5;4;weiblich;1964;59;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;2;Ich nenn es mal.... geschwollene Ausdrucksweise .;2023-04-21T13:35:59Z;868;TRUE
195;4 Nutzung ChatGPT;6;5;75;Ich probiere neue Angebote eher schnell aus.;5;2;3;4;4;eher profitieren;ja;2;1;3;3;"Chat GPT; Google Bard";2;2;4;1;4;2;2;2;1;2;2;ja;ja;16;aus Internetforen und Plattformen;ja, aber erst später;10;allein;selbst ausprobiert;eher überzeugend;2;4;Textvorschläge formulieren lassen.;3;3;5;5;5;4;4;4;4;3;2;2;3;3;5;3;5;5;5;5;5;5;weiblich;1980;43;(Fach-) Abitur;1;1;1;1;2;1;Schule, Bildung, Wissenschaft;1;NA;2023-04-21T13:38:46Z;316;TRUE
212;4 Nutzung ChatGPT;3;1;60;Ich probiere neue Angebote sofort aus.;5;5;5;5;5;eher profitieren;ja;4;2;2;2;"Chatgpt;Dall-e";4;1;4;1;4;2;1;1;1;4;1;ja;ja;12;von Personen im Arbeitskontext;ja, direkt nachdem ich davon gehört hatte;12;allein;selbst ausprobiert;eher überzeugend;5;5;Ich lasse mir code schreiben;2;2;4;4;4;4;2;3;2;2;4;4;2;4;5;5;5;5;5;5;5;5;weiblich;1979;44;(Fach-) Abitur;1;1;1;1;2;1;IT, Informatik, EDV;4;NA;2023-04-21T14:18:50Z;283;TRUE
222;4 Nutzung ChatGPT;4;4;480;Ich probiere neue Angebote eher schnell aus.;4;2;3;3;4;eher profitieren;ja;3;3;3;4;Chatgbt;2;2;3;2;3;2;2;3;2;3;3;ja;nein;NA;NA;ja, aber erst später;0;allein;selbst ausprobiert;unbestimmt;2;3;Texte generieren;1;1;3;2;3;3;5;4;2;2;2;2;2;1;4;3;4;3;4;3;3;4;männlich;1962;61;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;2;NA;2023-04-21T14:52:47Z;516;TRUE
230;4 Nutzung ChatGPT;5;5;8;Ich probiere neue Angebote sofort aus.;5;3;5;5;4;eher profitieren;ja;3;3;2;3;NA;3;3;2;2;2;3;3;1;3;3;3;ja;ja;8;aus Internetforen und Plattformen;ja, direkt nachdem ich davon gehört hatte;3;allein;selbst ausprobiert;[NA] nicht beantwortet;3;4;NA;2;1;3;4;4;4;4;2;2;2;4;2;3;4;4;4;3;3;3;4;4;4;männlich;1989;34;(Fach-) Abitur;1;1;1;1;2;1;IT, Informatik, EDV;3;NA;2023-04-21T15:09:06Z;478;TRUE
233;4 Nutzung ChatGPT;11;11;240;Ich probiere neue Angebote eher schnell aus.;5;1;2;4;3;eher profitieren;ja;5;4;4;5;AskAI;1;1;3;3;3;1;1;3;1;3;3;ja;nein;NA;NA;ja, direkt nachdem ich davon gehört hatte;1;allein;selbst ausprobiert;eher überzeugend;4;2;NA;1;1;4;4;4;4;1;-1;4;2;1;1;-1;3;4;4;4;4;4;4;5;5;weiblich;1978;45;(Fach-) Abitur;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;2;NA;2023-04-21T15:30:03Z;211;TRUE
